Name,Team,Projected Points NFL,Projected Points FFN Standard,Projected Points FFN StandardLow,Projected Points FFN StandardHigh,Projected Points FFN PPR,Projected Points FFN PPRLow,Projected Points FFN PPRHigh,Projected Points Fantasy Data
Blake Bortles,JAC,24.46,17.40,16.10,24.46,17.40,16.10,24.46,16.37
Cam Newton,CAR,24.34,21.00,18.20,31.00,21.00,18.20,31.00,22.50
Philip Rivers,SD,22.56,19.60,19.20,26.10,19.60,19.20,26.10,19.21
Drew Brees,NO,18.96,19.60,18.50,25.00,19.60,18.50,25.00,21.05
Kirk Cousins,WAS,18.22,18.30,17.90,23.00,18.30,17.90,23.00,18.55
Andy Dalton,CIN,18.06,17.00,16.00,20.30,17.00,16.00,20.30,18.44
Trevor Siemian,DEN,17.70,,,,,,,15.58
Carson Palmer,ARI,17.26,16.90,16.30,22.00,16.90,16.30,22.00,17.89
Joe Flacco,BAL,17.00,16.20,14.30,22.00,16.20,14.30,22.00,16.16
Jacoby Brissett,NE,16.92,,,,,,,8.90
Andrew Luck,IND,16.28,18.20,16.28,22.70,18.20,16.28,22.70,19.23
Blaine Gabbert,SF,14.92,,,,,,,14.27
Dak Prescott,DAL,14.76,15.50,13.10,18.90,15.50,13.10,18.90,14.78
Ryan Fitzpatrick,NYJ,14.60,,,,,,,12.64
Brian Hoyer,CHI,14.28,,,,,,,8.49
Jameis Winston,TB,14.22,,,,,,,13.46
Russell Wilson,SEA,13.72,16.60,13.72,20.90,16.60,13.72,20.90,17.23
Ben Roethlisberger,PIT,13.64,16.60,13.64,22.00,16.60,13.64,22.00,17.81
Matthew Stafford,DET,13.10,18.40,13.10,23.00,18.40,13.10,23.00,19.85
Derek Carr,OAK,12.96,,,,,,,15.97
Eli Manning,NYG,12.94,15.30,11.80,21.00,15.30,11.80,21.00,13.86
Matt Ryan,ATL,12.78,,,,,,,15.67
Marcus Mariota,TEN,12.74,,,,,,,12.48
Brock Osweiler,HOU,12.26,,,,,,,15.56
Alex Smith,KC,12.08,16.40,12.08,19.20,16.40,12.08,19.20,14.53
Tyrod Taylor,BUF,12.02,,,,,,,14.99
Sam Bradford,MIN,12.00,,,,,,,14.49
Ryan Tannehill,MIA,11.76,,,,,,,14.13
Cody Kessler,CLE,11.42,,,,,,,12.86
Case Keenum,LA,10.20,,,,,,,8.21
AJ McCarron,CIN,0.42,,,,,,,0.77
Colin Kaepernick,SF,0.38,,,,,,,0.84
Derek Anderson,CAR,0.36,,,,,,,0.69
Kellen Clemens,SD,0.36,,,,,,,0.69
Nick Foles,KC,0.36,,,,,,,0.72
Shaun Hill,MIN,0.36,,,,,,,0.67
Ryan Mallett,BAL,0.36,,,,,,,0.79
Colt McCoy,WAS,0.36,,,,,,,0.81
Matt McGloin,OAK,0.36,,,,,,,
Geno Smith,NYJ,0.36,,,,,,,0.76
Drew Stanton,ARI,0.36,,,,,,,
Matt Barkley,CHI,0.32,,,,,,,
Chad Henne,JAX,0.32,,,,,,,0.73
Landry Jones,PIT,0.32,,,,,,,
Mark Sanchez,DAL,0.32,,,,,,,
Matt Schaub,ATL,0.32,,,,,,,
Jimmy Garoppolo,NE,0.28,,,,,,,7.57
Jared Goff,LA,0.28,,,,,,,0.84
Tom Savage,HOU,0.28,,,,,,,0.72
Scott Tolzien,IND,0.28,,,,,,,
Jay Cutler,,,,,,,,,6.58
Paxton Lynch,,,,,,,,,0.82
Trevone Boykin,,,,,,,,,0.82
EJ Manuel,,,,,,,,,0.72
Mike Glennon,,,,,,,,,0.72
Dan Orlovsky,,,,,,,,,0.68
Matt Cassel,,,,,,,,,0.68
