Name,Team,Projected Points NFL,Projected Points FFN Standard,Projected Points FFN StandardLow,Projected Points FFN StandardHigh,Projected Points FFN PPR,Projected Points FFN PPRLow,Projected Points FFN PPRHigh,Projected Points Fantasy Data
David Johnson,ARI,21.10,14.50,13.40,21.10,17.80,17.00,25.10,15.92
Melvin Gordon,SD,19.40,13.90,13.02,19.40,17.30,15.72,21.40,14.57
Spencer Ware,KC,17.50,,,,,,,9.75
Jeremy Hill,CIN,17.40,,,,,,,11.08
Charles Sims,TB,15.60,,,,,,,10.42
Duke Johnson,CLE,15.40,,,,,,,7.95
Matt Forte,NYJ,15.20,10.50,8.00,15.20,13.60,10.50,18.00,10.69
Mark Ingram,NO,14.60,12.70,10.00,16.00,15.80,13.70,18.60,12.88
Carlos Hyde,SF,14.40,11.50,10.60,14.40,13.30,12.48,16.43,12.05
Lamar Miller,HOU,14.40,15.40,8.00,16.20,18.20,10.75,19.10,15.80
Javorius Allen,BAL,14.20,,,,,,,
Isaiah Crowell,CLE,14.20,,,,,,,9.84
DeAngelo Williams,PIT,14.20,,,,,,,
Frank Gore,IND,14.10,10.50,8.00,14.10,12.70,10.27,16.10,11.57
DeMarco Murray,TEN,13.90,10.60,8.00,13.90,14.50,11.39,16.90,11.16
LeGarrette Blount,NE,13.60,13.20,11.60,13.60,13.60,11.60,15.00,13.96
Todd Gurley,LA,13.60,11.60,8.80,15.30,13.60,9.80,17.30,12.29
C.J. Anderson,DEN,13.50,12.40,10.99,15.00,15.00,13.49,17.66,
Ezekiel Elliott,DAL,13.50,13.50,11.16,16.00,15.70,13.26,18.35,14.91
Matt Jones,WAS,13.30,,,,,,,9.35
Christine Michael,SEA,12.80,,,,,,,11.03
Kenyan Drake,MIA,12.30,,,,,,,5.83
T.J. Yeldon,JAX,12.10,,,,,,,
Jordan Howard,CHI,11.60,10.80,8.84,15.00,13.30,9.74,17.89,11.78
Theo Riddick,DET,11.60,,,,,,,9.66
Giovani Bernard,CIN,10.20,,,,,,,7.94
Tevin Coleman,ATL,10.10,,,,,,,8.15
Devonta Freeman,ATL,9.90,,,,,,,9.72
Chris Thompson,WAS,9.80,,,,,,,5.64
Fozzy Whittaker,CAR,9.50,,,,,,,5.92
Bilal Powell,NYJ,8.90,,,,,,,4.44
Le'Veon Bell,PIT,8.80,15.10,8.80,17.00,19.30,11.80,21.22,15.17
Rashad Jennings,NYG,8.80,,,,,,,5.55
Derrick Henry,TEN,8.30,,,,,,,4.49
Chris Ivory,JAX,8.20,,,,,,,8.43
LeSean McCoy,BUF,8.20,11.90,8.20,13.00,15.00,10.20,15.60,11.97
Shaun Draughn,SF,7.90,,,,,,,6.19
Dwayne Washington,DET,7.80,,,,,,,8.50
Jerick McKinnon,MIN,6.70,,,,,,,9.91
Latavius Murray,OAK,6.60,,,,,,,8.84
Devontae Booker,DEN,5.90,,,,,,,
Justin Forsett,BAL,5.20,,,,,,,9.07
Ronnie Hillman,MIN,3.90,,,,,,,
Jamaal Charles,KC,3.40,,,,,,,6.11
Tim Hightower,NO,3.40,,,,,,,
Dexter McCluster,SD,3.40,,,,,,,4.35
James White,NE,3.30,,,,,,,4.87
Terrance West,BAL,3.10,,,,,,,7.54
Jay Ajayi,MIA,2.70,,,,,,,4.38
Cameron Artis-Payne,CAR,2.70,,,,,,,8.74
CJ Anderson,,,,,,,,,12.69
Orleans Darkwa,,,,,,,,,7.62
TJ Yeldon,,,,,,,,,6.87
Matt Asiata,,,,,,,,,6.13
Bobby Rainey,,,,,,,,,4.78
Joique Bell,,,,,,,,,4.60
Alex Collins,,,,,,,,,4.38
