Name,Team,Projected Points NFL,Projected Points FFN Standard,Projected Points FFN StandardLow,Projected Points FFN StandardHigh,Projected Points FFN PPR,Projected Points FFN PPRLow,Projected Points FFN PPRHigh,Projected Points Fantasy Data
Antonio Brown,PIT,15.20,14.20,12.40,16.10,22.50,19.40,24.40,12.99
Odell Beckham,NYG,14.20,,,,,,,
Mike Evans,TB,14.00,10.00,7.20,14.00,15.40,11.20,19.25,10.35
Alshon Jeffery,CHI,13.80,10.70,7.00,13.80,16.00,11.31,18.50,11.28
A.J. Green,CIN,13.30,11.90,8.00,14.50,18.00,13.53,22.50,
Larry Fitzgerald,ARI,12.90,9.70,8.70,13.00,15.80,14.70,19.53,10.70
Doug Baldwin,SEA,12.80,,,,,,,10.90
Emmanuel Sanders,DEN,12.70,9.50,8.00,12.70,14.70,13.92,16.90,9.17
Stefon Diggs,MIN,12.40,,,,,,,9.73
Kelvin Benjamin,CAR,12.20,,,,,,,10.82
Michael Floyd,ARI,11.90,,,,,,,7.64
Sterling Shepard,NYG,11.80,,,,,,,6.95
Will Fuller,HOU,11.60,,,,,,,7.93
Allen Hurns,JAX,11.30,,,,,,,6.95
Cole Beasley,DAL,10.90,,,,,,,7.98
Vincent Jackson,TB,10.40,,,,,,,
Brandon LaFell,CIN,10.40,,,,,,,6.94
Terrelle Pryor,CLE,10.40,,,,,,,7.18
Adam Humphries,TB,10.20,,,,,,,
Brice Butler,DAL,10.10,,,,,,,
Quincy Enunwa,NYJ,10.00,,,,,,,5.81
Kenny Stills,MIA,9.90,,,,,,,
Ricardo Louis,CLE,9.80,,,,,,,
Devin Funchess,CAR,9.70,,,,,,,
Chris Conley,KC,9.20,,,,,,,
Marqise Lee,JAX,9.20,,,,,,,
Julio Jones,ATL,9.10,11.80,8.00,14.80,18.70,13.13,23.80,12.29
Andrew Hawkins,CLE,9.00,,,,,,,
Adam Thielen,MIN,8.90,,,,,,,
Tyler Boyd,CIN,8.70,,,,,,,
Charles Johnson,MIN,8.30,,,,,,,
Taylor Gabriel,ATL,7.90,,,,,,,
Andre Johnson,TEN,7.90,,,,,,,
Robby Anderson,NYJ,7.80,,,,,,,
Josh Doctson,WAS,7.80,,,,,,,
Jalin Marshall,NYJ,7.80,,,,,,,
DeAndre Hopkins,HOU,7.70,10.80,7.70,15.00,16.60,12.70,21.34,12.53
Eli Rogers,PIT,7.70,,,,,,,
Greg Salas,BUF,7.70,,,,,,,
Jaron Brown,ARI,7.50,,,,,,,
Jarvis Landry,MIA,7.50,9.50,7.50,13.00,16.80,13.50,18.81,9.48
Keshawn Martin,SF,7.50,,,,,,,
Jaelen Strong,HOU,7.50,,,,,,,
Rashard Higgins,CLE,7.30,,,,,,,
Allen Robinson,JAC,7.30,11.60,7.30,13.00,16.80,11.30,17.90,12.97
Willie Snead,NO,7.30,,,,,,,9.62
T.Y. Hilton,IND,7.20,10.50,7.00,11.70,15.80,11.02,17.30,
Chris Moore,BAL,7.20,,,,,,,
Darrius Heyward-Bey,PIT,7.10,,,,,,,
Cody Latimer,DEN,6.90,,,,,,,
Marvin Jones,DET,,12.00,6.50,15.00,18.10,10.50,20.59,10.66
Odell Beckham Jr.,NYG,,11.90,9.50,15.00,18.30,15.10,21.00,
Travis Benjamin,SD,,10.10,5.80,11.80,15.60,9.80,17.20,8.92
Brandin Cooks,NO,,9.90,4.50,14.00,15.50,8.50,19.36,11.82
AJ Green,,,,,,,,,14.34
Odell Beckham Jr,,,,,,,,,11.87
TY Hilton,,,,,,,,,11.71
Demaryius Thomas,,,,,,,,,11.28
Brandon Marshall,,,,,,,,,9.14
Julian Edelman,,,,,,,,,9.07
Amari Cooper,,,,,,,,,8.91
Jeremy Maclin,,,,,,,,,8.48
Sammy Watkins,,,,,,,,,8.22
DeSean Jackson,,,,,,,,,8.20
Eric Decker,,,,,,,,,8.19
Phillip Dorsett,,,,,,,,,7.70
Pierre Garcon,,,,,,,,,7.67
Michael Crabtree,,,,,,,,,7.63
Golden Tate,,,,,,,,,7.45
Jamison Crowder,,,,,,,,,7.30
Terrance Williams,,,,,,,,,7.24
Tajae Sharpe,,,,,,,,,7.24
Tyrell Williams,,,,,,,,,7.05
Mike Wallace,,,,,,,,,6.98
Devante Parker,,,,,,,,,6.62
Kevin White,,,,,,,,,6.50
Kenny Britt,,,,,,,,,6.20
Steve Smith,,,,,,,,,6.13
Torrey Smith,,,,,,,,,6.00
Victor Cruz,,,,,,,,,5.48
